Continent,Country Code,Country Name,% of GDP Spent on Healthcare,Hospital Density per 100000 population,,,,,,,
Asia,AFG,Afghanistan,15.53361392,0.37,,,,,,,
Europe,ALB,Albania,3.8,1.36,,,,,,,
Americas,ATG,Antigua and Barbuda,5.61472893,1.11,,,,,,,
Europe,ARM,Armenia,12.24103546,4.03,,,,,,,
Europe,AZE,Azerbaijan,4.60676527,7.97,,,,,,,
Americas,BHS,Bahamas,7.59363365,1.06,,,,,,,
Asia,BGD,Bangladesh,2.6280098,0.17,,,,,,,
Americas,BRB,Barbados,7.20014429,1.05,,,,,,,
Europe,BLR,Belarus,6.40607214,7.45,,,,,,,
Americas,BLZ,Belize,6.92425728,2.11,,,,,,,
Africa,BEN,Benin,2.5893681,0.41,,,,,,,
Asia,BTN,Bhutan,4.37174511,1.72,,,,,,,
Americas,BOL,Bolivia,7.857059,1.07,,,,,,,
Europe,BIH,Bosnia and Herzegovina,9.8411274,1.02,,,,,,,
Africa,BWA,Botswana,6.18664551,1.29,,,,,,,
Asia,BRN,Brunei Darussalam,2.39377809,1.44,,,,,,,
Africa,BFA,Burkina Faso,6.71932602,0.31,,,,,,,
Africa,BDI,Burundi,6.50141716,0.5,,,,,,,
Africa,CPV,Cote d'Ivoire,3.72245775,1,,,,,,,
Asia,KHM,Cabo Verde,6.01976061,0.57,,,,,,,
Africa,CMR,Cambodia,7.50527,0.79,,,,,,,
Americas,CAN,Cameroon,3.76582599,2.27,,,,,,,
Africa,CAF,Canada,12.93967533,0.48,,,,,,,
Africa,TCD,Central African Republic,9.40206814,0.65,,,,,,,
Americas,CHL,Chad,5.40748835,1.04,,,,,,,
Africa,COM,Chile,9.75300503,0.68,,,,,,,
Americas,CRI,Comoros,5.34622765,0.84,,,,,,,
Africa,CIV,Costa Rica,7.855371,1.71,,,,,,,
Europe,HRV,Croatia,7.76502275,1.54,,,,,,,
Americas,CUB,Cuba,12.48644733,2.04,,,,,,,
Europe,CYP,Cyprus,8.0934782,7.54,,,,,,,
Europe,CZE,Czechia,9.24007225,1.29,,,,,,,
Asia,PRK,"Korea, Dem. People's Rep.",6.1,6.86,,,,,,,
Africa,COD,Democratic Republic of the Congo,4.05092573,0.45,,,,,,,
Europe,DNK,Denmark,10.52817535,1.01,,,,,,,
Americas,DMA,Dominica,5.64582825,5.56,,,,,,,
Americas,ECU,Ecuador,8.47677135,0.33,,,,,,,
Asia,EGY,"Egypt, Arab Rep.",4.36497974,0.62,,,,,,,
Americas,SLV,El Salvador,9.85177708,0.47,,,,,,,
Africa,ERI,Eritrea,4.09359646,0.36,,,,,,,
Europe,EST,Estonia,7.75206661,1.94,,,,,,,
Africa,SWZ,Eswatini,6.51153374,0.8,,,,,,,
Africa,ETH,Ethiopia,3.48096275,0.22,,,,,,,
Asia,FJI,Fiji,3.74984646,0,,,,,,,
Europe,FIN,Finland,9.61349583,1.38,,,,,,,
Africa,GAB,Gabon,3.42724609,3.53,,,,,,,
Africa,GMB,"Gambia, The",2.6129365,0.7,,,,,,,
Europe,GEO,Georgia,7.6048708,2.21,,,,,,,
Africa,GHA,Ghana,3.99029994,1.36,,,,,,,
Americas,GRD,Grenada,5.82064009,0.94,,,,,,,
Americas,GTM,Guatemala,6.46871376,0.34,,,,,,,
Africa,GIN,Guinea,4.0445075,0.37,,,,,,,
