Continent,Country,Health_Expenditure_GDP_Percentage,Hospital_Density_Per_100000_People,Population,GDP,GDP_PC
Asia,Afghanistan,15.53,0.37,41128771,14583135237,1516.3057
Europe,Albania,,1.36,2842321,18882095518,14518.906
Africa,Algeria,6.32,,44903225,1.92E+11,11039.806
Oceania,American Samoa,,,44273,709000000,
Europe,Andorra,9.05,,79824,3352032737,
Africa,Angola,2.91,,35588987,1.07E+11,5908.57
North America,Anguilla,,,15857,,
Antarctica,Antarctica,,,5000,,
North America,Antigua and Barbuda,5.61,1.11,93763,1757603704,19124.43
South America,Argentina,9.98,,45510318,6.33E+11,21527.195
Asia,Armenia,12.24,4.03,2780469,19502783988,14193.117
North America,Aruba,,,106445,3126019385,38866.332
Oceania,Australia,10.65,,26177413,1.68E+12,49774.34
Europe,Austria,11.47,,8939617,4.71E+11,54121.145
Asia,Azerbaijan,4.61,7.97,10358074,78721058824,14431.661
North America,Bahamas,7.59,1.06,409984,12897400000,30210.162
Asia,Bahrain,4.72,,1472233,44390820479,49387.418
Asia,Bangladesh,2.63,0.17,171186372,4.60E+11,5911.013
North America,Barbados,7.2,1.05,281635,5637914515,13754.803
Europe,Belarus,6.41,7.45,9534954,72793457588,19751.203
Europe,Belgium,11.06,,11655930,5.79E+11,51739.54
North America,Belize,6.92,2.11,405272,2824081836,8762.623
Africa,Benin,2.59,0.41,13352864,17401746309,3321.5522
North America,Bermuda,,,64184,7550500000,80271.13
Asia,Bhutan,4.37,1.72,782455,2539551327,10907.856
South America,Bolivia,7.86,1.07,12224110,43068885673,8052.1772
Europe,Bosnia and Herz.,9.84,1.02,3233526,24527507288,15666.54
Africa,Botswana,6.19,1.29,2630296,20352322157,14840.913
South America,Brazil,10.31,,215313498,1.92E+12,14592.353
Asia,Brunei,2.39,1.44,449002,16681531646,60127.023
Europe,Bulgaria,8.52,,6781953,89040398406,24398.13
Africa,Burkina Faso,6.72,0.31,22673762,18884619613,2179.789
Africa,Burundi,6.5,0.5,12889576,3073414678,705.0304
Asia,Cambodia,6.02,1,16767842,29956769529,4354.5654
Africa,Cameroon,7.51,0.57,27914536,44341646509,3700.4644
North America,Canada,3.77,0.79,38454327,2.14E+12,47892.945
Africa,Cape Verde,12.94,2.27,593149,2314816792,6114.1333
North America,Cayman Islands,,,68706,6028373541,67500.1
Africa,Central African Rep.,9.4,0.48,5579144,2382618615,837.5047
Africa,Chad,5.41,0.65,17723315,12704149842,1425.4945
South America,Chile,9.75,1.04,19603733,3.01E+11,25449.13
Asia,China,5.59,,1425887337,1.80E+13,17602.695
Asia,Christmas Island,,,1402,,
Asia,Cocos (Keeling) Islands,,,596,,
South America,Colombia,8.99,,51874024,3.44E+11,14648.592
Africa,Comoros,5.35,0.68,836774,1242519407,3228.5269
Africa,Congo,4.47,,5970424,14615532210,3234.393
Africa,Dem. Rep. Congo,4.05,0.45,99010212,58065953573,1073.6433
Oceania,Cook Islands,,,17011,,
North America,Costa Rica,7.86,0.84,5180829,68380838316,21199.281
Africa,Ivory Coast,3.72,1.71,28160542,70018715017,5325.0303
Europe,Croatia,7.77,1.54,4030358,70964606465,31635.824
North America,Cuba,12.49,2.04,11212191,1.07E+11,
Europe,Cyprus,8.09,7.54,1251488,28439052741,41701.703
Europe,Czechia,9.24,1.29,10493986,2.91E+11,40740.992
Europe,Denmark,10.53,1.01,5882261,3.95E+11,57962.652
Africa,Djibouti,2.01,,1120849,3515109075,4913.2563
North America,Dominica,5.65,5.56,72737,612048148.1,10878.037
North America,Dominican Rep.,4.94,,11228821,1.14E+11,18626.078
South America,Ecuador,8.48,0.33,18001000,1.15E+11,10668.758
Africa,Egypt,4.36,0.62,110990103,4.77E+11,11566.05
North America,El Salvador,9.85,0.47,6336392,32488720000,9086.047
Africa,Eq. Guinea,3.77,,1674908,11813908448,14637.008
Africa,Eritrea,4.09,0.36,3684032,,
Europe,Estonia,7.75,1.94,1326062,38100812959,38717.695
Africa,Eswatini,6.51,0.8,1201670,4854167638,8856.829
Africa,Ethiopia,3.48,0.22,123379924,1.27E+11,2319.0684
South America,Falkland Is.,,,3780,,
Europe,Faroe Islands,,,53090,3649878680,
Oceania,Fiji,3.75,0,929766,4943248200,10359.204
Europe,Finland,9.61,1.38,5540745,2.81E+11,48753.355
Europe,France,12.21,,64626628,2.78E+12,44993.125
South America,French Guiana,,,304557,,
Oceania,French Polynesia,,,306279,6080359305,
Africa,Gabon,3.43,3.53,2388992,21071739228,13813.723
Africa,Gambia,2.61,0.7,2705992,2273060863,2076.5664
Asia,Georgia,7.6,2.21,3744385,24605375420,15486.659
Europe,Germany,12.82,,83369843,4.07E+12,53179.656
Africa,Ghana,3.99,1.36,33475870,72838798788,5435.238
Europe,Gibraltar,,,32649,,
Europe,Greece,9.51,,10384971,2.19E+11,29548.04
North America,Greenland,,0.94,56466,3235816195,
North America,Grenada,5.82,,125438,1256413185,13688.256
North America,Guadeloupe,,,395752,,
Oceania,Guam,,,171774,6123000000,
North America,Guatemala,6.47,0.34,17843908,95003333381,8926.7
Africa,Guinea,4.04,0.37,13859341,21227749389,2640.3442
South America,Guyana,5.51,3.38,808726,15357537068,21925.188
North America,Haiti,3.22,0.24,11584996,20253551885,2870.145
North America,Honduras,9.04,0.36,10432860,31717700115,5572.177
Asia,Hong Kong,,,7488865,3.60E+11,59978.15
Europe,Hungary,7.25,1.02,9967308,1.79E+11,33593.152
Europe,Iceland,9.56,3.64,372899,27841648044,53586.156
Asia,India,2.96,,1417173173,3.39E+12,6592.042
Asia,Indonesia,3.41,0.43,275501339,1.32E+12,11858.146
Asia,Iran,5.34,,88550570,3.89E+11,15004.6875
Asia,Iraq,5.08,0.95,44496122,2.64E+11,8962.395
Europe,Ireland,7.1,,5023109,5.29E+11,102496.22
Asia,Israel,8.32,0.56,9038309,5.22E+11,42061.242
Europe,Italy,9.63,2.08,59037474,2.01E+12,41929.43
North America,Jamaica,6.61,0.75,2827377,17097760745,9596.564
Asia,Japan,10.9,,123951692,4.23E+12,40784.383
Asia,Jordan,7.47,1.94,11285869,47451499859,9223.147
Asia,Kazakhstan,3.79,3.52,19397998,2.21E+11,26110.53
Africa,Kenya,4.29,1.47,54027487,1.13E+11,4743.4863
Oceania,Kiribati,11.64,0,131232,223352943.2,1937.0894
Asia,North Korea,,6.86,26069416,,
Asia,South Korea,8.36,3.42,51815810,1.67E+12,44232.207
Asia,Kuwait,6.31,,4268873,1.85E+11,
Asia,Kyrgyzstan,5.26,2.63,6630623,10930644915,4814.9565
Asia,Laos,2.69,2.25,7529475,15724383783,7846.975
Europe,Latvia,7.45,1.56,1850651,41153912663,32081.455
Asia,Lebanon,7.95,3.09,5489739,23131941557,12977.202
Africa,Lesotho,11.78,,2305825,2553459763,2295.2322
Africa,Liberia,9.5,0.37,5302681,4001047150,1423.2296
Africa,Libya,,2.64,6812341,45752336036,21965.174
Europe,Liechtenstein,,,39327,7186428783,
Europe,Lithuania,7.54,2.15,2750055,70334299008,39305.613
Europe,Luxembourg,5.77,1.13,647599,82274812251,115683.49
Asia,Macao,,,695168,21979475561,64796.996
Africa,Madagascar,3.88,0.47,29611714,14954967604,1463.6288
Africa,Malawi,5.43,0.4,20405317,13164667627,1491.1339
Asia,Malaysia,4.12,0.47,33938221,4.06E+11,26333.156
Asia,Maldives,11.35,6.67,523787,6189865408,18765.217
Africa,Mali,4.31,0.46,22593590,18827176532,2120.6233
Europe,Malta,10.84,0.93,533286,17765270015,44658.72
Oceania,Marshall Islands,13.01,3.8,41569,279667900,5961.8164
North America,Martinique,,,367507,,
Africa,Mauritania,3.36,1.03,4736139,10375460680,5307.522
Africa,Mauritius,6.66,0.96,1299469,12898307089,20967.947
Africa,Mayotte,,,326101,,
North America,Mexico,6.24,3.51,127504125,1.41E+12,19086.105
Oceania,"Micronesia, Federated States of",11.56,4.83,114164,427094119.1,3315.2302
Europe,Moldova,6.78,2.12,3272996,14420947884,14009.226
Europe,Monaco,1.67,10.57,36469,8596156574,8596156574
Asia,Mongolia,4.94,2.5,3398366,16810883361,11668.431
Europe,Montenegro,11.42,2.09,627082,6095978868,20602.5
North America,Montserrat,,,4390,,
Africa,Morocco,5.99,,37457971,1.34E+11,8058.397
Africa,Mozambique,7.62,,32969517,17851491428,1226.767
Asia,Myanmar,4.62,0.63,54179306,59364362541,4032.6257
Africa,Namibia,8.9,1.91,2567012,12607436976,9137.797
Oceania,Nauru,11.97,9.95,12668,150922211,11947.395
Asia,Nepal,5.17,0.38,30547580,40828247302,3831.9485
Europe,Netherlands,11.14,0.76,17564014,9.91E+11,56617.35
North America,Netherlands Antilles,,,"211,871",,
Oceania,New Caledonia,,,289950,10071349707,
Europe,North Macedonia,7.89,4.08,2093599,13563132057,16467.316
Oceania,New Zealand,10.03,,5185288,2.47E+11,42915.453
North America,Nicaragua,8.63,0.95,6948392,15671583878,5638.748
Africa,Niger,6.2,0.55,26207977,13969605583,1186.5768
Africa,Nigeria,3.38,,218541212,4.77E+11,4922.6323
Oceania,Norfolk Island,,,"2,169",,
Oceania,Northern Mariana Islands,,,49551,858000000,
Europe,Norway,11.42,,5434319,5.79E+11,65662.17
Asia,Oman,5.33,1.35,4576298,1.15E+11,34294.766
Asia,Pakistan,2.95,0.53,235824862,3.77E+11,5232.1426
Oceania,Palau,18.39,,18055,217800000,13785.397
Asia,Palestine,,,5250072,19111900000,5643.0723
North America,Panama,9.66,0.91,4408581,76522511781,29037.945
Oceania,Papua New Guinea,2.53,1.57,10142619,30633444295,3677.4602
South America,Paraguay,7.58,2.43,6780744,41722295362,13687.655
South America,Peru,6.3,,34049588,2.43E+11,12514.651
Asia,Philippines,5.11,1.81,115559009,4.04E+11,8094.693
Europe,Poland,6.49,0.94,39857145,6.88E+11,34915.523
Europe,Portugal,10.55,,10270865,2.52E+11,33674.527
North America,Puerto Rico,,,3252407,1.13E+11,32632.883
Asia,Qatar,4.18,,2695122,2.37E+11,92862.35
Africa,Reunion,,,974052,,
Europe,Romania,6.27,1.68,19659267,3.01E+11,30776.93
Europe,Russia,7.6,,144713314,2.24E+12,27960.102
Africa,Rwanda,7.32,,13776698,13312796765,2238.9573
Africa,Saint Helena,,,"5,661",,
North America,Saint Pierre and Miquelon,,,5862,,
Oceania,Samoa,5.33,4.2,222382,832421565.4,5534.127
Europe,San Marino,8.69,3.18,33660,1855382833,
Africa,Sao Tome and Principe,4.91,,227380,546680341.6,4052.1233
Asia,Saudi Arabia,,1.04,36408820,1.11E+12,44339.312
Africa,Senegal,5.15,0.16,17316449,27684430244,3495.4036
Europe,Serbia,8.73,1.09,7221365,63501748652,19831.297
Africa,Seychelles,6.39,1.08,107118,1588406479,28760.516
Africa,Sierra Leone,8.76,,8605718,3970343852,1614.6981
Asia,Singapore,6.05,0.5,5975689,4.67E+11,106032.23
Europe,Slovakia,7.23,1.54,5643453,1.15E+11,31866.025
Europe,Slovenia,9.45,1.25,2119844,62117768015,40036.484
Oceania,Solomon Islands,4.43,,724273,1595710784,2406.1135
Africa,Somalia,,,17597511,8126105600,1136.736
Africa,South Africa,8.58,0.67,59893885,4.06E+11,13311.926
Africa,S. Sudan,5.25,,10913164,,
Europe,Spain,10.71,1.63,47558630,1.40E+12,37913.074
Asia,Sri Lanka,4.07,0.099,21832143,74403578363,13386.682
North America,St. Kitts and Nevis,5.37,,47657,961563259.3,26485.816
North America,St. Lucia,6.74,,179857,2065027556,13045.955
North America,St. Martin (French part),,,31791,,
North America,St. Vincent and the Grenadines,4.82,,103948,948558503.1,13695.039
